# Ocean tidal loading corrections for the center-of-mass motion
# From the web page of Hans-Georg Scherneck at Onsala Space Observatory
# (http://holt.oso.chalmers.se/loading/CMC/)
# Z X Y in-phase and cross-phase coefficients for 11 tidal components in meters
# Values to be ADDED to the joint center of mass to put the tides into a solid-Earth fixed frame
# Read by subroutine /gamit/lib/otl_cmc.f
# Format: (a3,6x,a8,t42,3(2x,2e12.4))
#
# The following ocean loading (OL) models are used by the respective
# analysis centers for their original and operational submissions:
# com: FES2004 
# emr: FES2004 
# esa: FES2004 
# gfz: NONE, FES2004 
# grg: ------, FES2004, FES2012 
# igr: FES2004 
# igs: FES2004 
# jpl: FES2002, FES2004, GOT4.8AC
# mit: FES2004, FES2004E
# ngs: FES2004 
# qzf: FES2004 
# sio: FES2004 
# tum: FES2004 
# wum: FES2004 
#
# The following ocean loading (OL) models are used for repro1:
# co1: FES2004 
# em1: FES2004 
# es1: FES2004 
# gf1: FES2004 
# jp1: FES2004 
# mi1: FES2004 
# ng1: FES2004 
# si1: FES2004
# ul1: FES2004 
# ig1: FES2004 
#
# The following ocean loading (OL) models are used for repro2:
# em2: FES2004 
# es2: FES2004 
# gf2: FES2004 
# gr2: FES2012 
# gt2: FES2004 
# jp2: GOT4.8AC
# mi2: FES2004E
# si2: FES2004 
# ul2: FES2004 
# ig2: NONE, FES2004 
#
#                                            in-phase Z  out-Z           in-X       out-X          in-Y       out-Y 
MODEL AG06
P1   NCDF_DTU10                             -3.3570E-04  1.4293E-03   -6.4832E-04 -2.9460E-04   -3.0148E-04 -5.6796E-04
Q1   NCDF_DTU10                             -6.8723E-05  5.0269E-04   -2.3277E-04 -6.7531E-05   -2.2259E-04 -4.8546E-05
Mf   NCDF_DTU10                             -5.0651E-04 -7.2936E-05   -2.2057E-04  4.1467E-04   -1.0212E-04  8.2264E-05
Mm   NCDF_DTU10                             -2.7883E-04  2.0623E-05    4.6883E-05  1.8398E-04   -7.4947E-06  1.3205E-05
Ssa  NCDF_DTU10                             -1.4899E-04  2.6146E-06    1.3687E-04  3.5475E-05   -2.4093E-05  3.1666E-07
MODEL EOT08a
M2   NCDF_EOT08a                            -1.0912E-03 -1.6459E-03   -1.5084E-03  8.7756E-04    1.1510E-03  3.8445E-04
S2   NCDF_EOT08a                            -2.4054E-04 -6.7210E-04   -7.4784E-04  5.4665E-06    5.9594E-04  1.2670E-04
N2   NCDF_EOT08a                            -2.9081E-04 -3.2859E-04   -3.0693E-04  1.0944E-04    2.2464E-04 -4.1657E-06
K2   NCDF_EOT08a                            -4.4554E-05 -1.0949E-04   -1.5388E-04 -6.9061E-05    1.1380E-05  6.7239E-05
K1   NCDF_EOT08a                            -1.0631E-03  4.5732E-03   -1.9513E-03 -8.8342E-04   -9.4060E-04 -1.7975E-03
O1   NCDF_EOT08a                            -2.5434E-04  2.9764E-03   -1.3148E-03 -2.2839E-04   -8.9519E-04 -6.2195E-04
P1   NCDF_EOT08a                            -2.8724E-04  1.5180E-03   -6.2636E-04 -2.7191E-04   -2.8252E-04 -7.1738E-04
Q1   NCDF_EOT08a                             2.9551E-05  4.6065E-04   -2.7948E-04 -3.4680E-05   -2.1774E-04 -3.8472E-05
Mf   NCDF_EOT08a                            -5.0643E-04 -7.3040E-05   -2.2065E-04  4.1472E-04   -1.0212E-04  8.2276E-05
Mm   NCDF_EOT08a                            -2.7885E-04  2.0596E-05    4.6882E-05  1.8399E-04   -7.4897E-06  1.3209E-05
MODEL EOT11a
M2   NCDF_EOT11a                            -1.1286E-03 -1.5579E-03   -1.5198E-03  8.7282E-04    1.1835E-03  2.9799E-04
S2   NCDF_EOT11a                            -2.0157E-04 -5.0325E-04   -5.8465E-04 -2.4138E-04   -3.7303E-05  2.2960E-04
N2   NCDF_EOT11a                            -3.0043E-04 -3.0610E-04   -2.7632E-04  1.0121E-04    2.0913E-04 -4.3120E-06
K2   NCDF_EOT11a                            -5.1745E-05 -1.1255E-04   -1.0645E-04  2.6970E-06   -2.4040E-05  7.2534E-06
K1   NCDF_EOT11a                            -1.1040E-03  4.6128E-03   -1.9294E-03 -9.2539E-04   -9.2229E-04 -1.8333E-03
O1   NCDF_EOT11a                            -3.0279E-04  3.0199E-03   -1.2676E-03 -2.6830E-04   -8.9271E-04 -6.3228E-04
P1   NCDF_EOT11a                            -2.4370E-04  1.5507E-03   -7.3603E-04 -2.6220E-04   -2.0892E-04 -6.8484E-04
Q1   NCDF_EOT11a                            -1.9601E-05  5.4134E-04   -2.2811E-04 -4.4820E-05   -2.1811E-04 -2.7513E-05
Mf   NCDF_EOT11a                            -5.1931E-04 -3.3321E-05   -1.9860E-04  3.3164E-04   -5.1802E-05  7.3649E-05
Mm   NCDF_EOT11a                            -2.6532E-04 -2.2724E-06    5.0988E-05  2.1385E-04   -2.3429E-05 -7.7899E-06
Ssa  NCDF_EOT11a                            -1.4899E-04  2.6146E-06    1.3687E-04  3.5475E-05   -2.4093E-05  3.1666E-07
MODEL FES94.1
M2   NCDF_FES94.1                           -1.6791E-03 -2.2273E-03   -4.9316E-04 -6.6536E-04    4.4734E-05 -7.6781E-04
S2   NCDF_FES94.1                           -2.1277E-04 -8.5219E-04   -1.9047E-04 -7.8639E-04   -8.1237E-04  5.7277E-05
N2   NCDF_FES94.1                           -5.0723E-04 -2.9042E-04   -1.3245E-04 -5.6029E-05   -1.4098E-04 -3.9433E-04
K2   NCDF_FES94.1                           -8.8651E-05 -2.8906E-04   -1.1853E-04 -1.1099E-04   -5.6526E-05 -3.2378E-05
K1   NCDF_FES94.1                           -1.7788E-03  5.1244E-03   -2.1122E-03 -1.6162E-03   -8.8949E-04 -2.1889E-03
O1   NCDF_FES94.1                           -1.0365E-03  3.8655E-03   -8.7819E-04 -6.1089E-04   -9.2535E-04 -9.9219E-04
P1   NCDF_FES94.1                           -5.6062E-04  1.6820E-03   -6.4667E-04 -4.8767E-04   -2.7604E-04 -7.6492E-04
Q1   NCDF_FES94.1                           -1.7504E-04  7.3595E-04   -2.3503E-04 -1.9067E-04   -3.0934E-04  9.0073E-05
Mf   NCDF_FES94.1                           -4.1085E-04 -9.7309E-06   -9.4686E-05  4.1078E-04   -1.2121E-04  9.2463E-05
Mm   NCDF_FES94.1                           -2.4701E-04  1.4906E-05   -5.2165E-05  1.0967E-04   -9.9642E-06  3.0009E-06
