# Table to help utils/upd_stnfo guess GAMIT receive, antenna, software codes from RINEX headers
 rcv SNR-8100  TR8100              
 rcv SNR-12    ROG_12              
 rcv SNR-12^RM ROG800              
 rcv SNR-12^ACT AO12BM             
 rcv BENCH     AOBMRK              
 rcv AOA^ICS   AOICSA              
 rcv RASCAL-8  AO_8RS              
 rcv RASCAL-12 AO12RS              
 swv 95.03.08  3.20                
 swv 3.2.32.8  3.20         
 swv 3.3.32.2  3.30   
 swv 3.3.32.5  3.31     
 ant LIN^R     ROGSNR              
 ant M_R       ROGSNR              
 ant LIN^B     ROGAOA              
 ant M_B       ROGAOA              
 ant LIN^T     TRBROG              
 ant M_T       TRBROG              
 ant TYPE^T    TRBROG              
 ant M_RA_SOP  ROGMTA              
 ant M_RA_NGS  TRBMTA              
 ant M_TA_SOP  ROGMTA              
 ant M_TA_NGS  TRBMTA              

# MiniMac codes                    
 rcv 2816AT MIN6AT                 
 rcv MIN6AT^ MIN6AT                
 ant TER^X-DI MINXDP               
 ant MAC^PAT  MINPCH    
           
# Leica codes                  
 rcv SR299^       LC_299                                                                                                   
 rcv SR299I       LC_299                                                                                                   
 rcv SYSTEM^200   LC_299                                                                                                   
 rcv SR299E       LC299E                                                                                                   
 rcv SR299^E      LC299E                                                                                                   
 rcv SR399^       LC_399                                                                                                   
 rcv SR399E       LC399E                                                                                                   
 rcv SR399^E      LC399E                                                                                                   
 rcv SR9500       LC9500                                                                                                   
 rcv SR510        LC_510                                                                                                   
 rcv SR520        LC_520                                                                                                   
 rcv SR530        LC_530                                                                                                   
 rcv RS500        LC_500                                                                                                   
 rcv MC500        MC1000 
 rcv GRX1200^     LC1200
 rcv GRX1200PRO   LC12PR   
 rcv GRX1200GGPRO LC14PR     
 rcv GRX1200PROGG LC14PR 
 rcv GX1230       LC1230                                                                         
 rcv CRS1000      LC_CRS 
 rcv GMX902^      LCG902 
 rcv GX1230GG     LC123G
 rcv GMX902GG     LC902G
 rcv GX1220       LC1220
 rcv ATX1230      LC121P
 rcv LEIGS15      LCGS15
 rcv GR10         LCGR10 
 swv 5.62         7.20
 swv 5.02         3.50  
 swv 5.10         5.50        
 swv 2.14         7.30 
 swv 8.00         8.00  
 swv 3.11.16      3.11 
 ant SYSTEM^200   LC299I  
 ant System^200   LC299I 
 ant LEISR299_IN  LC299I 
 ant SR299        LC299I 
 ant SR299_I      LC299I                                                                                                   
 ant SR299^I      LC299I   
 ant LEISR399_IN  LC399I  
 ant SR399_I      LC299I                                                     
 ant SR399^I      LC299I    
 ant LEIAT201     LC_201 
 ant LEIAT202+GP  LC202G 
 ant AT202+GP     LC202G                                                    
 ant SR299E^GP    LC202G  
 ant LEIAT202-GP  LC202N 
 ant AT202-GP     LC202N                                                    
 ant SR299E^W/O   LC202N  
 ant LEIAT302+GP  LC302G 
 ant LEIAT302-GP  LC302N 
 ant LEIAT303     LC_303 
 ant AT-303       LC_303
 ant LEIAT303+RD  LC303R 
